position,source,story_key,time,userid
2,cnn,8,1431948039,50442
0,foxnews,6,1431948250,14324
1,msnbc,5,1431948250,14324
2,cnn,8,1431948250,14324
0,foxnews,7,1431948319,9235
1,cnn,2,1431948319,9235
2,msnbc,1,1431948319,9235
0,cnn,4,1431948405,37617
1,msnbc,3,1431948405,37617
2,foxnews,2,1431948405,37617
0,foxnews,8,1431948604,35519
1,msnbc,4,1431948604,35519
2,cnn,6,1431948604,35519
0,msnbc,6,1431948622,19837
1,cnn,8,1431948622,19837
2,foxnews,2,1431948622,19837
0,msnbc,8,1431948653,92746
1,cnn,7,1431948653,92746
2,foxnews,4,1431948653,92746
0,msnbc,6,1431948681,19837
1,cnn,8,1431948681,19837
2,foxnews,2,1431948681,19837
0,cnn,7,1431948703,24707
1,foxnews,3,1431948703,24707
2,msnbc,5,1431948703,24707
0,cnn,8,1431948763,13064
1,foxnews,6,1431948763,13064
2,msnbc,3,1431948763,13064
0,cnn,8,1431948895,99175
1,foxnews,9,1431948895,99175
2,msnbc,4,1431948895,99175
0,foxnews,4,1431949032,35701
1,msnbc,3,1431949032,35701
2,cnn,9,1431949032,35701
0,msnbc,9,1431949066,20771
1,cnn,8,1431949066,20771
2,foxnews,1,1431949066,20771
0,msnbc,4,1431949128,48584
1,cnn,3,1431949128,48584
2,foxnews,5,1431949128,48584
0,cnn,4,1431949159,8260
1,foxnews,7,1431949159,8260
2,msnbc,0,1431949159,8260
0,cnn,0,1431949167,37641
1,foxnews,7,1431949167,37641
2,msnbc,1,1431949167,37641
0,cnn,8,1431949205,84677
1,foxnews,7,1431949205,84677
2,msnbc,9,1431949205,84677
0,cnn,8,1431949330,83661
1,msnbc,9,1431949330,83661
2,foxnews,7,1431949330,83661
0,cnn,3,1431949515,82273
1,foxnews,5,1431949515,82273
2,msnbc,7,1431949515,82273
0,cnn,6,1431949639,99053
1,msnbc,5,1431949639,99053
2,foxnews,7,1431949639,99053
0,msnbc,6,1431949663,82520
1,foxnews,2,1431949663,82520
2,cnn,9,1431949663,82520
0,msnbc,8,1431949671,54669
1,foxnews,4,1431949671,54669
2,cnn,1,1431949671,54669
0,msnbc,2,1431949788,48542
1,cnn,7,1431949788,48542
2,foxnews,5,1431949788,48542
0,foxnews,9,1431950052,2263
1,msnbc,4,1431950052,2263
2,cnn,6,1431950052,2263
0,cnn,4,1431950061,45655
1,foxnews,9,1431950061,45655
2,msnbc,0,1431950061,45655
0,msnbc,8,1431950178,44961
1,foxnews,9,1431950178,44961
2,cnn,0,1431950178,44961
0,foxnews,6,1431950453,75265
1,cnn,2,1431950453,75265
2,msnbc,3,1431950453,75265
0,foxnews,2,1431950667,45079
1,cnn,6,1431950667,45079
2,msnbc,1,1431950667,45079
0,foxnews,4,1431950671,32717
1,msnbc,9,1431950671,32717
2,cnn,8,1431950671,32717
0,foxnews,7,1431950968,24756
1,cnn,1,1431950968,24756
2,msnbc,2,1431950968,24756
0,foxnews,9,1431950974,18019
1,msnbc,3,1431950974,18019
2,cnn,1,1431950974,18019
0,msnbc,1,1431950989,39037
1,cnn,4,1431950989,39037
2,foxnews,2,1431950989,39037
0,msnbc,3,1431951107,21234
1,cnn,6,1431951107,21234
2,foxnews,4,1431951107,21234
0,cnn,1,1431951133,36392
1,foxnews,4,1431951133,36392
2,msnbc,3,1431951133,36392
0,cnn,9,1431951220,30944
1,msnbc,3,1431951220,30944
2,foxnews,7,1431951220,30944
0,cnn,2,1431951221,5253
1,foxnews,1,1431951221,5253
2,msnbc,5,1431951221,5253
0,msnbc,7,1431951448,30021
1,foxnews,8,1431951448,30021
2,cnn,3,1431951448,30021
0,foxnews,0,1431951470,89695
1,cnn,7,1431951470,89695
2,msnbc,3,1431951470,89695
0,foxnews,5,1431951486,97640
1,msnbc,7,1431951486,97640
2,cnn,0,1431951486,97640
0,msnbc,8,1431951562,79361
1,cnn,0,1431951562,79361
2,foxnews,6,1431951562,79361
0,msnbc,0,1431951576,24100
1,foxnews,9,1431951576,24100
2,cnn,5,1431951576,24100
0,msnbc,0,1431951763,24100
1,foxnews,9,1431951763,24100
2,cnn,5,1431951763,24100
0,msnbc,1,1431951975,22863
1,foxnews,4,1431951975,22863
2,cnn,0,1431951975,22863
0,msnbc,5,1431951981,3961
1,cnn,4,1431951981,3961
2,foxnews,8,1431951981,3961
0,cnn,6,1431952020,99662
1,msnbc,8,1431952020,99662
2,foxnews,7,1431952020,99662
0,foxnews,9,1431952021,39673
1,msnbc,8,1431952021,39673
2,cnn,1,1431952021,39673
0,foxnews,8,1431952060,73045
1,msnbc,6,1431952060,73045
2,cnn,1,1431952060,73045
0,foxnews,6,1431952093,29346
1,cnn,3,1431952093,29346
2,msnbc,7,1431952093,29346
0,cnn,3,1431952227,51075
1,msnbc,0,1431952227,51075
2,foxnews,1,1431952227,51075
0,cnn,0,1431952324,94850
1,foxnews,6,1431952324,94850
2,msnbc,3,1431952324,94850
0,cnn,9,1431952458,97480
1,msnbc,4,1431952458,97480
2,foxnews,6,1431952458,97480
0,foxnews,2,1431952552,98986
1,msnbc,5,1431952552,98986
2,cnn,3,1431952552,98986
0,cnn,3,1431952586,19644
1,msnbc,2,1431952586,19644
2,foxnews,6,1431952586,19644
0,msnbc,0,1431952700,90667
1,cnn,3,1431952700,90667
2,foxnews,6,1431952700,90667
0,foxnews,8,1431952755,30602
1,cnn,3,1431952755,30602
