story_key,summary,time,userid
1,1,1401408257,34416
0,0,1401408257,34416
3,0,1401408257,34416
2,0,1401408257,34416
4,0,1401408257,34416
1,0,1401590886,28252
0,0,1401590886,28252
3,0,1401590886,28252
2,0,1401590886,28252
5,0,1401590886,28252
4,1,1401590886,28252
7,0,1401590886,28252
6,1,1401590886,28252
9,0,1401590886,28252
8,0,1401590886,28252
1,0,1401624587,73435
0,0,1401624587,73435
3,0,1401624587,73435
2,0,1401624587,73435
5,0,1401624587,73435
4,0,1401624587,73435
7,0,1401624587,73435
6,0,1401624587,73435
9,0,1401624587,73435
8,0,1401624587,73435
1,0,1401630737,97671
0,0,1401630737,97671
3,0,1401630737,97671
2,0,1401630737,97671
5,0,1401630737,97671
4,0,1401630737,97671
7,0,1401630737,97671
6,0,1401630737,97671
9,0,1401630737,97671
8,0,1401630737,97671
1,1,1401634281,13403
0,1,1401634281,13403
3,1,1401634281,13403
2,1,1401634281,13403
5,1,1401634281,13403
4,1,1401634281,13403
7,1,1401634281,13403
6,1,1401634281,13403
9,1,1401634281,13403
8,1,1401634281,13403
1,0,1401634290,7002
0,1,1401634290,7002
3,1,1401634290,7002
2,0,1401634290,7002
5,0,1401634290,7002
4,0,1401634290,7002
7,1,1401634290,7002
6,0,1401634290,7002
9,0,1401634290,7002
8,0,1401634290,7002
1,1,1401634300,3376
0,1,1401634300,3376
3,1,1401634300,3376
2,1,1401634300,3376
5,1,1401634300,3376
4,1,1401634300,3376
7,1,1401634300,3376
6,1,1401634300,3376
9,1,1401634300,3376
8,1,1401634300,3376
1,0,1401634302,63403
0,0,1401634302,63403
3,1,1401634302,63403
2,0,1401634302,63403
5,0,1401634302,63403
4,0,1401634302,63403
7,1,1401634302,63403
6,0,1401634302,63403
9,1,1401634302,63403
8,0,1401634302,63403
1,0,1401634327,47229
0,0,1401634327,47229
3,1,1401634327,47229
2,0,1401634327,47229
5,1,1401634327,47229
4,1,1401634327,47229
7,0,1401634327,47229
6,0,1401634327,47229
9,0,1401634327,47229
8,0,1401634327,47229
1,0,1401634341,95625
0,1,1401634341,95625
3,0,1401634341,95625
2,0,1401634341,95625
5,1,1401634341,95625
4,0,1401634341,95625
7,1,1401634341,95625
6,0,1401634341,95625
9,0,1401634341,95625
8,0,1401634341,95625
1,0,1401634343,89667
0,0,1401634343,89667
3,0,1401634343,89667
2,0,1401634343,89667
5,0,1401634343,89667
4,0,1401634343,89667
7,0,1401634343,89667
6,0,1401634343,89667
9,1,1401634343,89667
8,0,1401634343,89667
1,0,1401634344,22798
0,0,1401634344,22798
3,1,1401634344,22798
2,0,1401634344,22798
5,0,1401634344,22798
4,0,1401634344,22798
7,0,1401634344,22798
6,0,1401634344,22798
9,0,1401634344,22798
8,0,1401634344,22798
1,0,1401634347,38429
0,0,1401634347,38429
3,1,1401634347,38429
2,0,1401634347,38429
5,0,1401634347,38429
4,1,1401634347,38429
7,0,1401634347,38429
6,0,1401634347,38429
9,0,1401634347,38429
8,1,1401634347,38429
1,0,1401634356,70932
0,0,1401634356,70932
3,0,1401634356,70932
2,0,1401634356,70932
5,1,1401634356,70932
4,0,1401634356,70932
7,1,1401634356,70932
6,0,1401634356,70932
9,1,1401634356,70932
8,0,1401634356,70932
1,0,1401634358,67401
0,1,1401634358,67401
3,0,1401634358,67401
2,0,1401634358,67401
5,1,1401634358,67401
4,1,1401634358,67401
7,0,1401634358,67401
6,0,1401634358,67401
9,0,1401634358,67401
8,0,1401634358,67401
1,0,1401634358,59544
0,0,1401634358,59544
3,0,1401634358,59544
2,0,1401634358,59544
5,0,1401634358,59544
4,0,1401634358,59544
7,0,1401634358,59544
6,0,1401634358,59544
9,1,1401634358,59544
8,1,1401634358,59544
1,0,1401634359,43606
0,1,1401634359,43606
3,0,1401634359,43606
2,1,1401634359,43606
5,1,1401634359,43606
4,0,1401634359,43606
7,0,1401634359,43606
6,0,1401634359,43606
9,0,1401634359,43606
8,0,1401634359,43606
1,0,1401634366,83306
0,0,1401634366,83306
3,1,1401634366,83306
2,0,1401634366,83306
5,1,1401634366,83306
4,0,1401634366,83306
7,1,1401634366,83306
6,0,1401634366,83306
9,0,1401634366,83306
8,0,1401634366,83306
1,0,1401634371,51644
0,1,1401634371,51644
3,0,1401634371,51644
2,0,1401634371,51644
5,1,1401634371,51644
4,0,1401634371,51644
7,1,1401634371,51644
6,0,1401634371,51644
9,0,1401634371,51644
8,0,1401634371,51644
1,1,1401634374,44333
0,1,1401634374,44333
3,0,1401634374,44333
2,0,1401634374,44333
5,1,1401634374,44333
4,0,1401634374,44333
7,0,1401634374,44333
6,0,1401634374,44333
9,0,1401634374,44333
8,0,1401634374,44333
1,0,1401634377,66420
0,1,1401634377,66420
3,0,1401634377,66420
2,0,1401634377,66420
5,0,1401634377,66420
4,0,1401634377,66420
7,1,1401634377,66420
6,1,1401634377,66420
9,0,1401634377,66420
8,0,1401634377,66420
1,0,1401634378,63331
0,0,1401634378,63331
3,0,1401634378,63331
2,1,1401634378,63331
5,0,1401634378,63331
4,0,1401634378,63331
7,0,1401634378,63331
6,0,1401634378,63331
9,0,1401634378,63331
8,0,1401634378,63331
1,1,1401634391,88107
0,1,1401634391,88107
3,0,1401634391,88107
2,0,1401634391,88107
5,0,1401634391,88107
4,0,1401634391,88107
7,1,1401634391,88107
6,0,1401634391,88107
9,0,1401634391,88107
8,0,1401634391,88107
1,0,1401634400,12743
0,0,1401634400,12743
3,0,1401634400,12743
2,0,1401634400,12743
5,0,1401634400,12743
4,1,1401634400,12743
7,0,1401634400,12743
6,1,1401634400,12743
9,0,1401634400,12743
8,0,1401634400,12743
1,0,1401634404,67053
0,1,1401634404,67053
3,1,1401634404,67053
2,0,1401634404,67053
5,0,1401634404,67053
4,0,1401634404,67053
7,0,1401634404,67053
6,1,1401634404,67053
9,0,1401634404,67053
8,0,1401634404,67053
1,1,1401634409,20082
0,0,1401634409,20082
3,0,1401634409,20082
2,1,1401634409,20082
5,0,1401634409,20082
4,0,1401634409,20082
7,1,1401634409,20082
6,0,1401634409,20082
9,0,1401634409,20082
8,0,1401634409,20082
1,0,1401634409,20471
0,0,1401634409,20471
3,0,1401634409,20471
2,0,1401634409,20471
5,0,1401634409,20471
4,0,1401634409,20471
7,1,1401634409,20471
6,0,1401634409,20471
9,0,1401634409,20471
8,0,1401634409,20471
1,0,1401634411,23008
0,0,1401634411,23008
3,0,1401634411,23008
2,0,1401634411,23008
5,1,1401634411,23008
